LABNR,C14AGE,C14STD,C13,MATERIAL,SITE,COUNTRY,FEATURE,FEATURE_DESC,PHASE,POTTERY,ASSOCIATION,REL,LAT,LONG,SOURCE
Beta-182572,2140,110,0,,Leboudi,CMR,,Pit,,,,,3.922875,11.423632,Lavachery et al. 2010
Beta-182573,1930,60,0,,Ndjore,CMR,,,,,,,4.395964,11.828533,Lavachery et al. 2010
Beta-182574,2020,60,0,,Ndjore,CMR,,,,,,,4.395964,11.828533,Lavachery et al. 2010
Beta-182575,1810,60,0,,Ndjore,CMR,,,,,,,4.395964,11.828533,Lavachery et al. 2010
Beta-182576,1870,40,0,,Ndjore,CMR,,,,,,,4.395964,11.828533,Lavachery et al. 2010
Beta-182577,0,0,0,,Ndjore,CMR,,,,,,,4.395964,11.828533,Lavachery et al. 2010
Beta-182578,1980,80,0,,Ndokoa,CMR,,Pit,,,,,4.436032,11.860436,Lavachery et al. 2010
Beta-182579,2630,70,0,,Zili,CMR,,Pit,,,,,4.488373,11.984775,Lavachery et al. 2005
Beta-182580,2020,60,0,,Doumba,CMR,,Pit,,,,,4.575913,12.2202,Lavachery et al. 2005
Beta-182581,2190,60,0,,Nanga Eboko,CMR,,,,,,,4.648814,12.394414,Lavachery et al. 2010
Beta-182582,2040,80,0,,Nanga Eboko,CMR,,,,,,,4.648814,12.394414,Lavachery et al. 2010
Beta-182583,2360,60,0,,Meyang,CMR,,,,,,,4.776613,12.686669,Lavachery et al. 2005
Beta-182584,2110,60,0,,Meyang,CMR,,,,,,,4.776613,12.686669,Lavachery et al. 2005
Beta-18728,3850,90,0,,Ikengue 1,GAB,,,LSA,,,,-1.5,9.498611,Clist 1989
Beta-18729,2550,120,0,,Ikengue 1,GAB,,,LSA,,,,-1.5,9.498611,Clist 1989
Beta-18730,0,0,0,,Ikengue 1,GAB,,,,,,,-1.5,9.498611,Clist 2004/05
Beta-18731,4830,290,0,,Ikengue 1,GAB,,,LSA,,,,-1.5,9.498611,Clist 1989
Beta-18732,130,80,0,,Ikengue 1,GAB,,,,,,,-1.5,9.498611,Clist 2004/05
Beta-18733,400,70,0,,Ikengue 1,GAB,,,,,,,-1.5,9.498611,Clist 2004/05
Beta-18734,5160,100,0,,Ikengue 1,GAB,,,,,,,-1.5,9.498611,Clist 2004/05
Beta-18735,220,50,0,,Ikengue 1,GAB,,,,,,,-1.5,9.498611,Clist 2004/05
Beta-19465,2596,220,0,,Mfomakap/Nkometou,CMR,,,,,,,4.049917,11.55,Elouga 1998
Beta-20060,6450,130,0,,Lac Noir de Ndende,GAB,,,LSA,,,,-2.233,11.333,Clist 1989
Beta-20063,1910,80,0,,Yombi Pk. 8,GAB,,,,,,,-1.4167,10.6333,Clist 2004/05
Beta-20064,1770,60,0,,Mouila 1,GAB,,,,,,,-1.985,11.033,Clist 2004/05
Beta-20065,1200,60,0,,Ditouba,GAB,,,,,,,-3.2709,10.6838,Clist 2004/05
Beta-20066,930,60,0,,Ditouba,GAB,,,,,,,-3.2709,10.6838,Clist 2004/05
Beta-20068,3890,140,0,,Mandilou,GAB,2,,LSA,,,,-1.2653,10.6167,Clist 1989
Beta-20069,1860,90,0,,Mandilou,GAB,3,,,,,,-1.2653,10.6167,Clist 2004/05
Beta-202219,2310,60,0,,Ebel Alembe 1,GAB,,Pit,,,,,0.133592,11.112578,Oslisly/Assoko Ndong 2001
Beta-202220,2060,80,0,,Ebel Alembe 1,GAB,,Pit,,,,,0.133592,11.112578,Oslisly/Assoko Ndong 2001
Beta-202221,2320,60,0,,Ebel Alembe 1,GAB,,Pit,,,,,0.133592,11.112578,Oslisly/Assoko Ndong 2001
Beta-202222,2170,60,0,,Ebel Alembe 2,GAB,,Pit,,,,,0.133592,11.116125,Oslisly/Assoko Ndong 2001
Beta-202225,2450,50,0,,Issemeyo 7,GAB,,Pit,,,,,0.303883,11.398403,Oslisly/Assoko Ndong 2001
Beta-202226,2190,70,0,,Benguie 7,GAB,,Pit,,,,,0.28824,11.384366,Oslisly/Assoko Ndong 2001
Beta-202227,2340,70,0,,Viafée 5,GAB,,Pit,,,,,0.330672,11.414437,Oslisly/Assoko Ndong 2001
Beta-202228,1960,60,0,,Viafe 3,GAB,,,,,,,0.2,11.38,Oslisly/Assoko Ndong 2001
Beta-202229,2060,70,0,,Issemeyo 4,GAB,,Pit,,,,,0.300172,11.3891,Oslisly/Assoko Ndong 2001
Beta-202230,2050,70,,,Issemeyo 4,GAB,,,,,,,0.300172,11.3891,Oslisly/Assoko Ndong 2006; Garcin et al. 2018
Beta-202231,1430,60,0,,Lalara 1,GAB,,Pit,,,,,0.349261,11.436242,Oslisly/Assoko Ndong 2001
Beta-202232,1990,60,0,,Lalara 1,GAB,,Pit,,,,,0.349261,11.436242,Oslisly/Assoko Ndong 2001
Beta-20784,1290,140,0,,Malekou,GAB,,,,Groupe II,,,0.339,9.5,Clist 2004/05
Beta-20785,380,90,0,,Malekou,GAB,,,,,,,0.3389,9.5,Clist 2004/05
Beta-20786,520,50,0,Charcoal,Moanda Gare,GAB,,,,,,,-1.5556,13.1806,Clist 2004/05
Beta-20787,560,50,0,Elaeis guineensis,Okala 1,GAB,,,,,,,0.490556,9.4125,Clist 2004/05
Beta-20788,2250,60,0,Elaeis guineensis,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Beta-20789,4810,80,0,,Riviere Denis,GAB,1,,Neol,,,0,0.322222,9.347778,Clist 1989
Beta-20790,2230,60,0,Elaeis guineensis,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Beta-20791,2300,100,0,,Djambala,COG,,,,,,,-2.54472,14.75333,Pincon 1991
Beta-22081,5420,120,0,,Lac Noir de Ndende,GAB,,,LSA,,,,-2.233,11.333,Clist 1989
Beta-22082,4990,120,0,,Lac Noir de Ndende,GAB,,,LSA,,,,-2.333,11.333,Clist 1989
Beta-22493,2360,120,0,,Mfomakap/Nkometou,CMR,,,,,,,4.049917,11.55,Elouga 1998
Beta-22495,2380,70,0,,Mfomakap/Nkometou,CMR,,,,,,,4.049917,11.55,Elouga 1998
Beta-233400,1520,40,0,,Kribi-Mpoengu,CMR,,Burial,,Bidjouka,,1,2.926944,9.912222,Gouem Gouem 2010/11: 627; Eggert/Seidensticker 2016:79 Tab. 4.2
Beta-233401,1510,50,0,,Kribi-Mpoengu,CMR,,Pit,,,,,2.926944,9.912222,Gouem Gouem 2010/2011: 279; Eggert/Seidensticker 2016:79 Tab. 4.2
Beta-233402,2040,50,0,,Kribi-Talla,CMR,BK,Pit,,Bwambé/Mpoengu,,1,2.930278,9.909722,Gouem Gouem 2010/11: 220; Nlend Nlend 2013: 257 Tab. 44; Eggert/Seidensticker 2016:80 Tab. 4.2
Beta-233555,200,40,,,Limbumba (LM),CAF,,,,,,,,,Lupo et al. 2018: 11 Tab. 3
Beta-233556,2380,40,,,Limbumba (LM),CAF,,,,,,,,,Lupo et al. 2018: 11 Tab. 3
Beta-233557,210,40,0,,Limbumba (LM)/Ndele (Pos A),CAF,,Trench,,,,,3.650128,16.870005,Kiahtipes/Lupo et al. 2011; Lupo et al. 2018: 11 Tab. 3
Beta-234983,120,40,,,Limbumba (LM),CAF,,,,,,,,,Lupo et al. 2018: 11 Tab. 3
Beta-234984,160,40,,,Limbumba (LM),CAF,,,,,,,,,Lupo et al. 2018: 11 Tab. 3
Beta-242316,2190,50,0,,Kribi-Mpoengu,CMR,I-A,Pit,,Bwambé/Mpoengu,,1,2.926944,9.912222,Gouem Gouem 2010/11: 196; Eggert/Seidensticker 2016:79 Tab. 4.2
Beta-242317,1470,40,0,,Kribi-Mpoengu,CMR,,Pit,,,,,2.926944,9.912222,Gouem Gouem 2010/2011: 303; Eggert/Seidensticker 2016:79 Tab. 4.2
Beta-245103,220,40,0,,Dibamba,CMR,F. 08 (40-50 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245104,190,40,0,,Dibamba,CMR,F. 11 (30-50 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245105,760,40,0,,Dibamba,CMR,F. 15 (40-50 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245106,530,40,0,,Dibamba,CMR,F. 16 (60-70 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245107,130,40,0,,Dibamba,CMR,F. 22 (110-130 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245108,770,40,0,,Dibamba,CMR,F. 25 (50-60 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245109,790,50,0,,Dibamba,CMR,F. 27 (120-130 cm),,,,,,3.995833,9.8215,Oslisly 2013; Saulieu et al. 2017
Beta-245110,250,50,0,,Dibamba,CMR,F. 28 (60-80 cm),,,,,,3.995833,9.8215,Oslisly 2013; Saulieu et al. 2017
Beta-245111,730,40,0,,Dibamba,CMR,F. 31 (30-40 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245112,920,50,0,,Dibamba,CMR,F. 32 (60-90 cm),,,,,,3.995833,9.8215,Oslisly 2013; Saulieu et al. 2017
Beta-245113,760,40,0,,Dibamba,CMR,F34 (60-80 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245114,260,50,0,,Dibamba,CMR,F. 35 (100-120 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245115,1980,50,0,,Dibamba,CMR,F. 37 (40-60 cm),,,,,,3.995833,9.8215,Oslisly 2013; Saulieu et al. 2017
Beta-245116,1900,50,0,,Dibamba,CMR,F. 43 (40-55 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245117,530,40,0,,Dibamba,CMR,F. 51 (40-60 cm),,,,,,3.995833,9.8215,Oslisly 2013; Saulieu et al. 2017
Beta-245118,830,50,0,,Dibamba,CMR,F. 54 (100-120 cm),,,,,,3.995833,9.8215,Oslisly 2013; Saulieu et al. 2017
Beta-245119,1810,50,0,,Dibamba,CMR,F. 73 (150-160 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245120,120,50,0,,Dibamba,CMR,F. 84A (30-40 cm),,,,,,3.995833,9.8215,Oslisly 2013; Saulieu et al. 2017
Beta-245121,210,50,0,,Dibamba,CMR,F. 85A (40-60 cm),,,,,,3.995833,9.8215,Oslisly 2013; Saulieu et al. 2017
Beta-245122,200,40,0,,Dibamba,CMR,F. 171 (40-60 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-245123,130,40,0,,Dibamba,CMR,Niv. 1,,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-246742,1610,40,0,,Kribi-Talla,CMR,,,,,,,2.930278,9.909722,Gouem Gouem 2010/2011; Eggert/Seidensticker 2016:80 Tab. 4.2
Beta-246743,1660,40,0,,Kribi-Talla,CMR,,,,,,,2.930278,9.909722,Gouem Gouem 2010/2011: 226; Eggert/Seidensticker 2016:80 Tab. 4.2
Beta-25544,1110,60,0,,Carboneras,GNQ,,,,,,,3.75,8.75,Clist 1998
Beta-25545,1280,50,0,,Carboneras,GNQ,,,,,,,3.75,8.75,Clist 1998
Beta-25546,2290,80,0,Elaeis guineensis,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Beta-25547,6190,80,0,,Nzogobeyok,GAB,,,LSA,,,,0.5333,9.35,Clist 1989
Beta-25548,2120,60,0,Elaeis guineensis,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Beta-25549,2460,60,0,Elaeis guineensis,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Beta-25581,1370,60,0,,Carboneras,GNQ,,,,,,,3.75,8.75,Clist 1998
Beta-25582,2450,70,0,Elaeis guineensis,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Beta-264858,1510,40,0,,Corisco,GNQ,,Pit,,,,,0.916667,9.316667,Gonzalez Ruibal 2012
Beta-264859,1560,40,0,,Corisco,GNQ,,Trench,,,,,0.916667,9.316667,Gonzalez Ruibal 2012
Beta-279278,900,40,0,,Kribi-Mpolongwe,CMR,,Pit,,,,,2.930278,9.912222,"Nlend Nlend 2013/2014: 257 Tab. 44, 283"
Beta-279279,2390,50,0,,Kribi-Mpolongwe,CMR,8,Pit,,Bissiang/Malongo; Bwambé/Mpoengu,,1,2.930278,9.912222,Nlend Nlend 2013/2014
Beta-279280,810,40,0,,Kribi-Mpolongwe,CMR,,Pit,,,,,2.930278,9.912222,"Nlend Nlend 2013/2014: 257 Tab. 44, 283"
Beta-279281,2250,50,0,,Kribi-Mpolongwe,CMR,15,Pit,,Bissiang/Malongo,,1,2.930278,9.912222,Nlend Nlend 2013/2014
Beta-279282,2280,40,0,,Kribi-Mpolongwe,CMR,22,Pit,,Bissiang/Malongo,,1,2.930278,9.912222,Nlend Nlend 2013/2014
Beta-279283,2410,50,0,,Kribi-Mpolongwe,CMR,23,Pit,,Bissiang/Malongo; Bwambé/Mpoengu,,1,2.930278,9.912222,Nlend Nlend 2013/2014: 257 Tab. 44
Beta-279284,2610,50,0,,Kribi-Mpolongwe,CMR,31,Pit,,Bissiang/Malongo,,1,2.930278,9.912222,Nlend Nlend 2013/2014
Beta-279285,1850,40,0,,Kribi-Mpolongwe,CMR,,Pit,,,,,2.930278,9.912222,"Nlend Nlend 2013/2014: 257 Tab. 44, 283"
Beta-279286,2450,40,0,,Kribi-Mpolongwe,CMR,36,Pit,,Bissiang/Malongo,,1,2.930278,9.912222,"Nlend Nlend 2013/2014: 257 Tab. 44, 283"
Beta-282417,1240,40,0,,Bodingue,CAF,,Pollencore,,,,0,3.628716,16.836355,Kiahtipes/Lupo et al. 2011
Beta-282418,480,40,0,,Bodingue,CAF,,Pollencore,,,,0,3.628716,16.836355,Kiahtipes/Lupo et al. 2011
Beta-282419,270,40,0,,Bodingue,CAF,,Pollencore,,,,0,3.628716,16.836355,Kiahtipes/Lupo et al. 2011
Beta-282420,1650,40,0,,Ngotto,CAF,Pos C,Trench,,,,,4.002085,17.308372,Kiahtipes/Lupo et al. 2011; Lupo et al. 2018: 7 Tab. 1
Beta-282421,1140,40,0,,Boua (Pos B),CAF,,Trench,,,,,4.079858,17.042457,Kiahtipes/Lupo et al. 2011; Lupo et al. 2018: 7 Tab. 1
Beta-287971,220,40,0,,Ngotto,CAF,P01-03.1,Pit,,,,,4.0426,17.3299,Kiahtipes 2016:81 Tab. 4-1; Lupo et al. 2018: 7 Tab. 1
Beta-287972,1230,40,0,,Boua (Pos B),CAF,,Trench,,,,,4.079858,17.042457,Kiahtipes/Lupo et al. 2011; Lupo et al. 2018: 7 Tab. 1
Beta-28828,970,80,0,Charcoal,"Mina, Leconi",GAB,,,,,,,-1.58431,14.25905,Clist 2004/05
Beta-292440,1340,30,0,,Lac Ndembo,COG,20N/17E,,,Spaced Curvilinear,,,-4.354739,11.653141,Denbow 2012: 387 Tab. 1
Beta-292441,1250,30,0,,Lac Ndembo,COG,20N/19E,,,Spaced Curvilinear,,,-4.354739,11.653141,Denbow 2012: 387 Tab. 1
Beta-292442,1610,40,0,,Lac Ndembo,COG,20N/40W,,,Carinated Broadly Grooved,,,-4.354739,11.653141,Denbow 2012: 387 Tab. 1
Beta-295430,7060,40,0,,KS9,COD,,,,,,0,-4.7625,13.0069,Hubau et al. 2013; Garcin et al. 2018
Beta-295431,7180,40,0,,KS9,COD,,,,,,0,-4.7625,13.0069,Hubau et al. 2013; Garcin et al. 2018
Beta-296113,1670,40,"-26,9",,Corisco,GNQ,,Deposit,,,,,0.916667,9.316667,Gonzalez Ruibal 2011
Beta-296114,1560,40,"-24,5",,Corisco,GNQ,,Pit,,,,,0.916667,9.316667,Gonzalez Ruibal 2011
Beta-296115,950,30,"-25,9",,Corisco,GNQ,,Burial,,,,,0.916667,9.316667,Gonzalez Ruibal 2011
Beta-296116,1760,40,"-25,6",,Corisco,GNQ,,Deposit,,,,,0.916667,9.316667,Gonzalez Ruibal 2011
Beta-296117,1940,40,"-25,3",,Corisco,GNQ,,Burial,,,,,0.916667,9.316667,Gonzalez Ruibal 2011
Beta-29772,5530,230,0,Charcoal,Lac Noir de Ndende,GAB,,,,,,,-2.233,11.333,Clist 2004/05
Beta-29773,4590,70,0,Charcoal,Lac Noir de Ndende,GAB,,,,,,,-2.233,11.333,Clist 2004/05
Beta-29774,7180,220,0,Charcoal,Lac Noir de Ndende,GAB,,,,,,,-2.233,11.333,Clist 2004/05
Beta-29775,1790,80,0,Charcoal,Lac Noir de Ndende,GAB,,,,,,,-2.233,11.333,Clist 2004/05
Beta-29777,7760,120,0,Charcoal,Lac Noir de Ndende,GAB,,,,,,,-2.233,11.333,Clist 2004/05
Beta-300121,880,30,0,,Dibamba,CMR,F. 32 (30-60 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-300122,990,30,0,,Dibamba,CMR,F. 32 (60-90 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-300123,1810,30,0,,Dibamba,CMR,F. 73 (150-160 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-300124,310,30,0,,Dibamba,CMR,F. 171 (50-60 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-302753,260,30,0,,Dibamba,CMR,F. 23 (30-60 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-302754,110,30,0,,Dibamba,CMR,F. 23 (60-90 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-302755,160,30,0,,Dibamba,CMR,F. 53 (40-80 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-302756,240,30,0,,Dibamba,CMR,F. 53 (80-120 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-302757,150,30,0,,Dibamba,CMR,F. 53 (120-160 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-302758,110,30,0,,Dibamba,CMR,F. 184 (0-44 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-302759,1040,30,0,,Dibamba,CMR,F. 193 (40-60 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-302760,520,30,0,,Dibamba,CMR,F. 193 (60-90 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-302761,0,0,0,,Dibamba,CMR,F. 131 (130 cm),,,,,,3.995833,9.8215,Saulieu et al. 2017
Beta-31410,2810,100,0,,Oliga,CMR,,,,,,0,3.9044,11.5003,Essomba 1998; Garcin et al. 2018
Beta-31411,2710,130,0,,Oliga,CMR,,,,,,0,3.9044,11.5003,Essomba 1998; Garcin et al. 2018
Beta-31412,1860,70,0,,Oliga,CMR,,,,,,0,3.9044,11.5003,Essomba 1998; Garcin et al. 2018
Beta-314122,580,30,0,Charcoal,CZ3,COD,,Layer,,,,0,-5.9785,13.2421,Hubau et al. 2013; Garcin et al. 2018; Clist 2018: 238 Tab. 18.2
Beta-31413,1960,80,0,,Oliga,CMR,,,,,,0,3.9044,11.5003,Essomba 1998; Garcin et al. 2018
Beta-31414,2820,70,0,,Oliga,CMR,,,,,,0,3.9044,11.5003,Essomba 1998; Garcin et al. 2018
Beta-31534,2110,60,0,,Oliga,CMR,,,,,,0,3.9044,11.5003,Essomba 1998; Garcin et al. 2018
Beta-32228,2150,80,0,,Oliga,CMR,,,,,,0,3.9044,11.5003,Essomba 1998; Garcin et al. 2018
Beta-32264,2200,60,0,,Okolo,CMR,,,,,,,3.933333,11.516667,Atangana 1992; Garcin et al. 2018
Beta-324743,330,30,0,,KS8,COD,,,,,,0,-4.75,13.0089,Hubau et al. 2013; Garcin et al. 2018
Beta-324744,850,30,0,,KS8,COD,,,,,,0,-4.75,13.0089,Hubau et al. 2013; Garcin et al. 2018
Beta-324745,2360,30,0,,KS8,COD,,,,,,0,-4.75,13.0089,Hubau et al. 2013; Garcin et al. 2018
Beta-324746,6050,30,0,,KS8,COD,,,,,,0,-4.75,13.0089,Hubau et al. 2013; Garcin et al. 2018
Beta-324748,2190,30,0,,Lukula,COD,,Layer,,,,0,-5.435267,12.961583,Hubau/Van den Bulcke et al. 2014; Clist 2018: 238 Tab. 18.2
Beta-329503,900,30,0,Elaeis guineensis,Lukula,COD,,Layer,,,,0,-5.435267,12.961583,"Hubau/Van den Bulcke et al. 2014; Clist 2018: 238 Tab. 18.2, 239 Tab. 18.3"
Beta-329504,1200,30,0,Elaeis guineensis,Lukula,COD,,Trench,,,,0,-5.435267,12.961583,"Hubau/Van den Bulcke et al. 2014; Clist 2018: 238 Tab. 18.2, 239 Tab. 18.3"
Beta-333282,180,30,0,Charcoal,Kindoki,COD,10,Pit,,,,,-5.07,15.01,Clist 2018: 237 Tab. 18.1
Beta-333283,340,30,0,Charcoal,Kindoki,COD,Tr sud,Layer,,Kindoki,,1,-5.07,15.01,Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 258 Tab. 19.3
Beta-333284,310,30,0,Charcoal,Kindoki,COD,Tr sud,Pit,,Kindoki,,1,-5.07,15.01,Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 258 Tab. 19.3
Beta-333285,190,30,0,Charcoal,Kindoki,COD,9,Burial,,,,,-5.07,15.01,Clist 2018: 237 Tab. 18.1
Beta-333286,250,30,0,Charcoal,Kindoki,COD,Tr sud,Layer,,,,,-5.07,15.01,Clist 2018: 237 Tab. 18.1
Beta-347644,120,30,0,,Ngongo Mbata,COD,,Layer,,,,,-5.7813,15.1166,Clist 2018: 238 Tab. 18.1
Beta-347645,0,0,0,,Ngongo Mbata Village,COD,Tr1,Layer,,,,,-5.7701,15.11,Clist 2018: 238 Tab. 18.1
Beta-379378,2090,30,0,Charcoal,Ngongo Mbata,COD,Tr61,Layer,,,,,-5.7813,15.1166,Clist 2018: 238 Tab. 18.1
Beta-379379,330,30,0,Charcoal,Ngongo Mbata,COD,Tr65,Pit,,,,,-5.7813,15.1166,Clist 2018: 238 Tab. 18.1
Beta-382528,370,30,0,Charcoal,Kindoki,COD,Tr23/Fosse 7,Pit,,Kindoki,,1,-5.07,15.01,Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 258 Tab. 19.3
Beta-44107,50,50,0,Shell (River/Ocean),Evinayong,GAB,,,,,,0,0.6,9.65,Clist 2004/05
Beta-44108,440,80,0,Shell (River/Ocean),Evinayong,GAB,,,,,,0,0.6,9.65,Clist 2004/05
Beta-451398,320,30,0,Charcoal,Ngongo Mbata,COD,Tr7,Pit,,,,,-5.7813,15.1166,Clist 2018: 238 Tab. 18.1
Beta-451399,160,30,0,Charcoal,Ngongo Mbata,COD,Tr83,Pit,,,,,-5.7813,15.1166,Clist 2018: 238 Tab. 18.1
Beta-46139,2160,70,0,Charcoal,Ofoubou 16,GAB,,,,,,,-1.4052,10.0713,Clist 2004/05
Beta-46140,1090,70,0,Charcoal,Ofoubou 33,GAB,,,,,,,-1.4052,10.0713,Clist 2004/05
Beta-46141,2390,50,0,Charcoal,Ofoubou 5,GAB,,,,,,,-1.4052,10.0713,Clist 2004/05
Beta-46142,39690,670,0,Charcoal,Okala 1,GAB,,,,,,,0.490556,9.4125,Clist 2004/05
Beta-46731,1740,60,0,,Ndakan,CAF,4,,,,,0,2.36,16.15,Fay 1997; Garcin et al. 2018
Beta-46732,1820,60,0,,Ndakan,CAF,3,,,,,0,2.34,16.17,Fay 1997; Garcin et al. 2018
Beta-46733,1590,50,0,,Ndakan,CAF,2,,,,,0,2.34,16.14,Fay 1997; Garcin et al. 2018
Beta-46734,1510,60,0,,Ndakan,CAF,1,,,,,0,2.35,16.14,Fay 1997; Garcin et al. 2018
Beta-51834,3180,80,0,,Shum Laka,CMR,,,,,,,5.858611,10.077778,Lavachery/Cornelissen 2000
Beta-51835,200,60,0,,Shum Laka,CMR,,,,,,,5.858611,10.077778,Lavachery/Cornelissen 2000
Beta-51836,2150,110,0,,Shum Laka,CMR,,,,,,0,5.858611,10.077778,Lavachery/Cornelissen 2000
Beta-51837,1360,80,0,,Shum Laka,CMR,,,,,,,5.858611,10.077778,Lavachery/Cornelissen 2000
Beta-53552,1750,70,0,Charcoal,Remboue,GAB,3,,,Oveng,,,-0.196856,9.95907,Clist 2004/05
Beta-53553,18020,80,0,Charcoal,Remboue,GAB,1,,,,,,-0.177925,9.938122,Clist 2004/05
Beta-53554,1650,50,0,Elaeis guineensis,Remboue,GAB,1,,,Oveng,,,-0.177925,9.938122,Clist 2004/05
Beta-53555,2180,100,0,Charcoal,Remboue,GAB,2,,,,,,0.1167,9.7333,Clist 2004/05
Beta-53556,10,60,0,Shell (River/Ocean),Ayeme 1,GAB,,,,,,0,0.204949,9.736935,Clist 2004/05
Beta-54220,1360,70,0,Charcoal,Remboue,GAB,11,,,Groupe II,,,0.1167,9.7333,Clist 2004/05
Beta-54221,670,50,0,Charcoal,Remboue,GAB,15,,,,,,0.1167,9.7333,Clist 2004/05
Beta-54222,0,0,0,Shell (River/Ocean),Remboue,GAB,15,,,,,0,0.1167,9.7333,Clist 2004/05
Beta-74282,740,50,-25,Elaeis guineensis,Agondje,GAB,,,,,,,4.869999,12.489999,Clist 2004/05
Beta-74283,930,50,-25,Elaeis guineensis,Agondje,GAB,,,,,,,4.869999,12.489999,Clist 2004/05
Beta-74284,10030,60,-25,Charcoal,Agondje,GAB,,,,,,,4.869999,12.489999,Clist 2004/05
Beta-74285,6300,60,0,Charcoal,Iguela 1,GAB,,,,,,,-1.9167,9.3167,Clist 2004/05
Beta-74286,3680,60,0,Charcoal,Iguela 2,GAB,,,,,,,-1.9167,9.3167,Clist 2004/05
Beta-75775,1570,70,0,,Mingmingi 1,COG,,,,,,0,2.59,16.5,Fay 1997; Garcin et al. 2018
Beta-75776,1830,100,,,Mingingi,COG,2,,,,,0,2.59,16.5,Fay 1997; Garcin et al. 2018
Beta-75777,1590,80,,,Mingingi,COG,3,,,,,0,2.59,16.5,Fay 1997; Garcin et al. 2018
Beta-75778,1620,90,,,Mingingi,COG,4,,,,,0,2.59,16.5,Fay 1997; Garcin et al. 2018
Beta-75779,1570,120,,,Mingingi,COG,5,,,,,0,2.59,16.5,Fay 1997; Garcin et al. 2018
Beta-75780,1520,80,,,Lower Mabale,COG,1,,,,,0,2.64,16.66,Fay 1997; Garcin et al. 2018
Beta-75781,1400,80,,,Lower Mabale,COG,2,,,,,0,2.64,16.66,Fay 1997; Garcin et al. 2018
Beta-75782,1730,110,,,Lower Mabale,COG,3,,,,,0,2.64,16.66,Fay 1997; Garcin et al. 2018
Beta-75783,1370,90,,,Lower Mabale,COG,4,,,,,0,2.64,16.66,Fay 1997; Garcin et al. 2018
Beta-75784,1380,80,,,Lower Mabale,COG,5,,,,,0,2.64,16.66,Fay 1997; Garcin et al. 2018
Beta-75785,1750,100,,,Mongambo,COG,1,,,,,0,2.69,16.78,Fay 1997; Garcin et al. 2018
Beta-75786,1580,80,,,Mongambo,COG,2,,,,,0,2.69,16.78,Fay 1997; Garcin et al. 2018
Beta-75787,1740,100,,,Mongambo,COG,3,,,,,0,2.69,16.78,Fay 1997; Garcin et al. 2018
Beta-75788,1460,90,,,Mongambo,COG,4,,,,,0,2.69,16.78,Fay 1997; Garcin et al. 2018
Beta-75789,1490,80,,,Mongambo,COG,5,,,,,0,2.69,16.78,Fay 1997; Garcin et al. 2018
Beta-75790,1700,80,,,Motaba,COG,1,,,,,0,2.71,16.93,Fay 1997; Garcin et al. 2018
Beta-75791,1670,100,,,Motaba,COG,2,,,,,0,2.71,16.93,Fay 1997; Garcin et al. 2018
Beta-75792,1420,100,,,Motaba,COG,3,,,,,0,2.71,16.93,Fay 1997; Garcin et al. 2018
Beta-75793,1720,70,,,Motaba,COG,4,,,,,0,2.71,16.93,Fay 1997; Garcin et al. 2018
Beta-75794,1390,100,,,Motaba,COG,5,,,,,0,2.71,16.93,Fay 1997; Garcin et al. 2018
